"","div","date","eng","daily_cases","new_cases","date_id","add"
"374","Daegu","2020/3/7","Daegu",10168,780,47,780
"375","Daegu","2020/3/8","Daegu",10762,594,48,594
"376","Daegu","2020/3/9","Daegu",11142,380,49,380
"377","Daegu","2020/3/10","Daegu",11326,184,50,184
"378","Daegu","2020/3/11","Daegu",11588,262,51,262
"379","Daegu","2020/3/12","Daegu",11734,146,52,146
"380","Daegu","2020/3/13","Daegu",11856,122,53,122
"381","Daegu","2020/3/14","Daegu",11980,124,54,124
"382","Daegu","2020/3/15","Daegu",12062,82,55,82
"383","Daegu","2020/3/16","Daegu",12132,70,56,70
"384","Daegu","2020/3/17","Daegu",12196,64,57,64
"385","Daegu","2020/3/18","Daegu",12288,92,58,92
"386","Daegu","2020/3/19","Daegu",12482,194,59,194
"387","Daegu","2020/3/20","Daegu",12550,68,60,68
"388","Daegu","2020/3/21","Daegu",12688,138,61,138
"389","Daegu","2020/3/22","Daegu",12774,86,62,86
"390","Daegu","2020/3/23","Daegu",12822,48,63,48
"391","Daegu","2020/3/24","Daegu",12884,62,64,62
"392","Daegu","2020/3/25","Daegu",12912,28,65,28
"393","Daegu","2020/3/26","Daegu",12964,52,66,52
"394","Daegu","2020/3/27","Daegu",13032,68,67,68
"395","Daegu","2020/3/28","Daegu",13174,142,68,142
"396","Daegu","2020/3/29","Daegu",13220,46,69,46
"397","Daegu","2020/3/30","Daegu",13248,28,70,28
"398","Daegu","2020/3/31","Daegu",13368,120,71,120
"399","Daegu","2020/4/1","Daegu",13408,40,72,40
"400","Daegu","2020/4/2","Daegu",13450,42,73,42
"401","Daegu","2020/4/3","Daegu",13468,18,74,18
"402","Daegu","2020/4/4","Daegu",13522,54,75,54
"403","Daegu","2020/4/5","Daegu",13536,14,76,14
"404","Daegu","2020/4/6","Daegu",13562,26,77,26
"405","Daegu","2020/4/7","Daegu",13588,26,78,26
"406","Daegu","2020/4/8","Daegu",13606,18,79,18
"407","Daegu","2020/4/9","Daegu",13614,8,80,8
"408","Daegu","2020/4/10","Daegu",13614,0,81,0
"409","Daegu","2020/4/11","Daegu",13628,14,82,14
"410","Daegu","2020/4/12","Daegu",13632,4,83,4
"411","Daegu","2020/4/13","Daegu",13638,6,84,6
