"","city_eng_name","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","avg_temp","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_outside_10lower","win7_gathering_outside_10over","stay_at_home","school_close","childcare_close","shop_close","restaurant_close","bar_close","entertainment_close","cultural_close","sports_indoor_close","sports_outdoor_close","gathering_outside_10lower","gathering_outside_10over","cv"
"2455","Cuyahoga,Ohio","Ohio","2020-06-29",1.84420527876144,0.0565909523273962,72,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0306858205966108
"2456","Cuyahoga,Ohio","Ohio","2020-06-30",1.72936504438548,0.0521897848244307,73.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0301785820141727
"2457","Cuyahoga,Ohio","Ohio","2020-07-01",1.70897851400321,0.0494577595970437,74,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0289399540086616
"2458","Cuyahoga,Ohio","Ohio","2020-07-02",1.37431797558129,0.0424123735090626,76,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0308606699924183
"2459","Cuyahoga,Ohio","Ohio","2020-07-03",1.5464971137812,0.0431921776998656,77,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0279290386738972
"2460","Cuyahoga,Ohio","Ohio","2020-07-04",1.44353358704066,0.0402694158107475,78.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0278964176325834
"2461","Cuyahoga,Ohio","Ohio","2020-07-05",1.37034784549584,0.0380652179304401,75.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0277777777777778
"2462","Cuyahoga,Ohio","Ohio","2020-07-06",1.31448337067589,0.0362762789877889,77,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0275973662330442
"2463","Cuyahoga,Ohio","Ohio","2020-07-07",1.29000737196689,0.0350447159766079,82.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.027166291246208
"2464","Cuyahoga,Ohio","Ohio","2020-07-08",1.31647906467734,0.0346082541629669,78.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0262884956483901
"2465","Cuyahoga,Ohio","Ohio","2020-07-09",1.31592015171602,0.0339091615767703,81.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0257684036015036
"2466","Cuyahoga,Ohio","Ohio","2020-07-10",1.49374181297408,0.0354648992342124,83.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0237423220841631
"2467","Cuyahoga,Ohio","Ohio","2020-07-11",1.28950486395767,0.0323591969704262,76.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0250942806614248
"2468","Cuyahoga,Ohio","Ohio","2020-07-12",1.27864904040564,0.0315932575816684,74.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.02470831055537
"2469","Cuyahoga,Ohio","Ohio","2020-07-13",1.22310476200158,0.0302393190627423,73.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0247234088217075
"2470","Cuyahoga,Ohio","Ohio","2020-07-14",1.16664837497182,0.0289231908962196,72.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0247916951814365
"2471","Cuyahoga,Ohio","Ohio","2020-07-15",1.20038830031965,0.0288019468528178,79.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0239938583582897
"2472","Cuyahoga,Ohio","Ohio","2020-07-16",1.14530531649735,0.0277044954557811,83,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0241896156917431
"2473","Cuyahoga,Ohio","Ohio","2020-07-17",1.1092411219653,0.0269188881832821,78.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0242678419058144
"2474","Cuyahoga,Ohio","Ohio","2020-07-18",1.05606450054597,0.0259749079595056,81.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0245959483971641
"2475","Cuyahoga,Ohio","Ohio","2020-07-19",0.987086500460669,0.0248722419307426,83,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0251976315339485
"2476","Cuyahoga,Ohio","Ohio","2020-07-20",0.929512593539095,0.0239520556629958,78,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0257684036015036
"2477","Cuyahoga,Ohio","Ohio","2020-07-21",0.898383004145816,0.0234316493642819,77.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.026082026547865
"2478","Cuyahoga,Ohio","Ohio","2020-07-22",0.918274424647711,0.0236546138370737,79,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0257598526128489
"2479","Cuyahoga,Ohio","Ohio","2020-07-23",0.870805068095826,0.0230843950513115,78,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0265092566603795
"2480","Cuyahoga,Ohio","Ohio","2020-07-24",0.877585593760328,0.0232887035781098,76.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0265372446217138
"2481","Cuyahoga,Ohio","Ohio","2020-07-25",0.858111503288509,0.0231837369388475,75,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.027017161347915
"2482","Cuyahoga,Ohio","Ohio","2020-07-26",0.801879652917291,0.0225904000147758,79.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0281718084909505
"2483","Cuyahoga,Ohio","Ohio","2020-07-27",0.800691376070128,0.0227748704647678,81.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0284440061994287
"2484","Cuyahoga,Ohio","Ohio","2020-07-28",0.81041603071572,0.0231452986012663,77.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.028559773898877
"2485","Cuyahoga,Ohio","Ohio","2020-07-29",0.85350019051926,0.0240351080646613,81.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0281606358518076
"2486","Cuyahoga,Ohio","Ohio","2020-07-30",0.832633365935053,0.024056110016074,77,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0288915998328494
"2487","Cuyahoga,Ohio","Ohio","2020-07-31",0.852685523282924,0.0246766798276594,76,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0289399540086616
"2488","Cuyahoga,Ohio","Ohio","2020-08-01",0.817121853115726,0.0244708689783466,74,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.029947637411774
"2489","Cuyahoga,Ohio","Ohio","2020-08-02",0.798105250197526,0.0244789922872396,73,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0306713836065872
"2490","Cuyahoga,Ohio","Ohio","2020-08-03",0.812320007484471,0.0249855927182276,74.5,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0,1,0.5,1,0,0,0.5,0.5,0.5,0.5,1,1,0.0307583125960433
